,RF,pgm,pgi,gapC,zwf,rpe,WT_0_5,WT_0_7
b2696,14.98290789,12.10832554,7.91596834,8.419610367,9.151110586,16.90616333,7.287266202,8.169604834
b0095,12.86991229,11.91622869,17.4803998,9.937726439,13.70687599,14.51818802,10.07037044,11.94966368
b3936,10.14514146,11.5022375,10.54840718,9.353765842,9.819238437,4.672050132,10.30164584,14.46315556
b0722,13.04089167,11.98761966,14.04341264,11.60842134,14.03249508,9.932115355,15.4495214,10.93871456
b1197,11.61512499,17.28017021,12.63465263,11.31792888,9.059378813,17.84564314,7.058209838,7.077359116
b3829,8.853658337,6.925518719,15.55434934,6.014588708,10.95419427,0.699429899,19.0652734,30.7599616
b2029,8.350464976,9.461028747,10.96139035,11.63574525,7.251743939,7.695925858,14.32678512,16.63103604
b4202,11.92588817,10.15621322,14.7097775,11.98012752,13.59498179,5.566096297,17.76154386,22.32431111
b2926,12.70768018,12.65907741,19.52266746,10.53168828,14.40334168,12.56534722,16.13901771,16.42548937
b2752,9.653666665,14.60134722,18.04862561,9.891485059,15.69562364,0.618646452,23.12196724,26.24144513
b3301,5.626153309,5.335120173,7.890217804,8.086959831,5.686757417,1.200834648,8.439965879,6.157613673
b3212,9.775383736,7.295597722,21.45078364,8.568345621,10.6108716,3.041725471,22.67475018,33.5936057
b0094,12.86882845,15.24814243,19.05731042,9.924856119,12.50061644,14.02885889,8.999727546,10.00660361
b2513,11.09128027,16.07632969,12.79560398,13.0429686,11.39087014,7.251197063,11.25554315,15.14640002
b2050,8.719520599,11.24169362,9.996130684,9.571177726,11.01003312,8.792980423,9.398801606,10.05153826
b4212,6.985824455,5.52763005,6.198146012,8.390148812,6.128284572,7.093699412,7.780616855,6.79603186
b1048,11.13062612,16.77231294,13.99884947,12.39856189,13.04845329,6.409511915,14.99432308,16.19674355
b3430,12.24626158,9.947416749,10.396895,7.357007586,10.55851758,15.24075637,8.85728939,8.235778121
b2573,14.15358176,14.804244,7.253678956,7.43545533,8.702716643,12.78771226,3.057577115,3.15335425
b1440,13.43630246,9.006824517,6.477154317,7.9527961,11.68359892,21.96886059,4.871443161,3.737659511
b3963,12.06100595,11.80853292,6.885971667,16.32330617,14.60140485,17.81321993,9.143437663,4.042851808
b3570,14.25300468,12.57978112,6.907285359,13.75968822,18.58332533,4.727122541,2.936760162,2.185196847
b3433,9.319609951,9.243735924,15.76880569,12.23065949,9.098863858,8.834320506,10.99263681,15.22501937
b3169,11.68396839,8.864566468,10.49266713,12.97876675,11.89285212,8.093451959,15.51197922,16.9355604
b2323,10.34323137,11.61184667,15.26530859,12.47214776,15.01912013,8.702105794,12.35247682,12.91031498
b1761,9.763423422,4.691449521,20.39694652,14.56826291,10.10558144,3.004743108,14.38192644,16.56661845
b3636,8.068590208,7.103722698,7.004847371,12.52704849,8.671033426,4.853722996,14.92258244,16.39474018
b2283,11.89249505,6.502564394,9.097635507,11.6981844,12.38643746,6.620166997,16.94757042,11.26238286
b0329,14.29624106,12.67373315,15.73136588,8.429112694,8.670791054,12.79056027,3.97036081,2.530436992
b1779,8.57496277,10.61141412,11.22391655,9.826801153,10.08342278,12.98300623,18.87596088,17.23269988
b3994,9.570648478,8.977529536,17.1135277,10.61958433,11.49983361,12.85345264,11.96395105,14.10148377
b4376,9.237328075,19.75333445,24.02302465,3.944491487,6.834655389,5.080429916,8.403903935,11.14860031
b0810,13.22836557,9.021898317,7.042254305,16.5360425,13.37783498,13.85110373,8.423633177,6.420141853
b4068,14.45114055,7.803324163,3.583439334,14.0840109,17.1040397,15.59982296,1.609277985,0.287884222
b0032,9.364953015,10.38718134,19.15427473,10.13316869,10.01846286,0.952501389,21.35736795,41.1433438
b0074,11.81908104,8.336478556,20.55260457,14.02291485,16.67373779,4.21537591,13.68254563,10.19900002
